,0
"#Available_Scooters_(32,_4)",2.0
"#Available_Scooters_(32,_5)",1.0
"#Available_Scooters_(32,_6)",1.0
"#Available_Scooters_(32,_7)",1.0
"#Available_Scooters_(32,_8)",1.0
"#Available_Scooters_(32,_9)",1.0
"#Available_Scooters_(33,_0)",11.0
"#Available_Scooters_(33,_1)",7.0
"#Available_Scooters_(33,_10)",1.0
"#Available_Scooters_(33,_11)",3.0
"#Available_Scooters_(33,_12)",4.0
"#Available_Scooters_(33,_13)",9.0
"#Available_Scooters_(33,_14)",10.0
"#Available_Scooters_(33,_15)",11.0
"#Available_Scooters_(33,_16)",11.0
"#Available_Scooters_(33,_17)",11.0
"#Available_Scooters_(33,_18)",11.0
"#Available_Scooters_(33,_19)",11.0
"#Available_Scooters_(33,_2)",6.0
"#Available_Scooters_(33,_3)",1.0
"#Available_Scooters_(33,_4)",0.0
"#Available_Scooters_(33,_5)",0.0
"#Available_Scooters_(33,_6)",0.0
"#Available_Scooters_(33,_7)",0.0
"#Available_Scooters_(33,_8)",0.0
"#Available_Scooters_(33,_9)",0.0
"#Available_Scooters_(34,_0)",9.0
"#Available_Scooters_(34,_1)",8.0
"#Available_Scooters_(34,_10)",21.0
"#Available_Scooters_(34,_11)",21.0
"#Available_Scooters_(34,_12)",17.0
"#Available_Scooters_(34,_13)",11.0
"#Available_Scooters_(34,_14)",7.0
"#Available_Scooters_(34,_15)",8.0
"#Available_Scooters_(34,_16)",8.0
"#Available_Scooters_(34,_17)",9.0
"#Available_Scooters_(34,_18)",9.0
"#Available_Scooters_(34,_19)",9.0
"#Available_Scooters_(34,_2)",16.0
"#Available_Scooters_(34,_3)",19.0
"#Available_Scooters_(34,_4)",21.0
"#Available_Scooters_(34,_5)",20.0
"#Available_Scooters_(34,_6)",20.0
"#Available_Scooters_(34,_7)",20.0
"#Available_Scooters_(34,_8)",20.0
"#Available_Scooters_(34,_9)",20.0
"#Available_Scooters_(35,_0)",4.0
"#Available_Scooters_(35,_1)",9.0
"#Available_Scooters_(35,_10)",73.0
"#Available_Scooters_(35,_11)",60.0
"#Available_Scooters_(35,_12)",41.0
"#Available_Scooters_(35,_13)",15.0
"#Available_Scooters_(35,_14)",9.0
"#Available_Scooters_(35,_15)",4.0
"#Available_Scooters_(35,_16)",4.0
"#Available_Scooters_(35,_17)",4.0
"#Available_Scooters_(35,_18)",4.0
"#Available_Scooters_(35,_19)",4.0
"#Available_Scooters_(35,_2)",28.0
"#Available_Scooters_(35,_3)",57.0
"#Available_Scooters_(35,_4)",71.0
"#Available_Scooters_(35,_5)",77.0
"#Available_Scooters_(35,_6)",77.0
"#Available_Scooters_(35,_7)",77.0
"#Available_Scooters_(35,_8)",77.0
"#Available_Scooters_(35,_9)",77.0
"#Available_Scooters_(36,_0)",21.0
"#Available_Scooters_(36,_1)",17.0
"#Available_Scooters_(36,_10)",5.0
"#Available_Scooters_(36,_11)",5.0
"#Available_Scooters_(36,_12)",8.0
"#Available_Scooters_(36,_13)",13.0
"#Available_Scooters_(36,_14)",14.0
"#Available_Scooters_(36,_15)",18.0
"#Available_Scooters_(36,_16)",19.0
"#Available_Scooters_(36,_17)",19.0
"#Available_Scooters_(36,_18)",20.0
"#Available_Scooters_(36,_19)",21.0
"#Available_Scooters_(36,_2)",14.0
"#Available_Scooters_(36,_3)",8.0
"#Available_Scooters_(36,_4)",4.0
"#Available_Scooters_(36,_5)",1.0
"#Available_Scooters_(36,_6)",0.0
"#Available_Scooters_(36,_7)",0.0
"#Available_Scooters_(36,_8)",0.0
"#Available_Scooters_(36,_9)",0.0
"#Available_Scooters_(37,_0)",19.0
"#Available_Scooters_(37,_1)",16.0
"#Available_Scooters_(37,_10)",3.0
"#Available_Scooters_(37,_11)",6.0
"#Available_Scooters_(37,_12)",8.0
"#Available_Scooters_(37,_13)",16.0
"#Available_Scooters_(37,_14)",18.0
"#Available_Scooters_(37,_15)",19.0
"#Available_Scooters_(37,_16)",19.0
"#Available_Scooters_(37,_17)",19.0
"#Available_Scooters_(37,_18)",19.0
"#Available_Scooters_(37,_19)",19.0
"#Available_Scooters_(37,_2)",12.0
"#Available_Scooters_(37,_3)",6.0
"#Available_Scooters_(37,_4)",3.0
"#Available_Scooters_(37,_5)",0.0
"#Available_Scooters_(37,_6)",0.0
"#Available_Scooters_(37,_7)",0.0
"#Available_Scooters_(37,_8)",0.0
"#Available_Scooters_(37,_9)",0.0
"#Available_Scooters_(38,_0)",7.0
"#Available_Scooters_(38,_1)",14.0
"#Available_Scooters_(38,_10)",66.0
"#Available_Scooters_(38,_11)",27.0
"#Available_Scooters_(38,_12)",27.0
"#Available_Scooters_(38,_13)",22.0
"#Available_Scooters_(38,_14)",13.0
"#Available_Scooters_(38,_15)",6.0
"#Available_Scooters_(38,_16)",4.0
"#Available_Scooters_(38,_17)",2.0
"#Available_Scooters_(38,_18)",2.0
"#Available_Scooters_(38,_19)",2.0
"#Available_Scooters_(38,_2)",22.0
"#Available_Scooters_(38,_3)",43.0
"#Available_Scooters_(38,_4)",81.0
"#Available_Scooters_(38,_5)",90.0
"#Available_Scooters_(38,_6)",94.0
"#Available_Scooters_(38,_7)",94.0
"#Available_Scooters_(38,_8)",97.0
"#Available_Scooters_(38,_9)",100.0
"#Available_Scooters_(39,_0)",26.0
"#Available_Scooters_(39,_1)",25.0
"#Available_Scooters_(39,_10)",0.0
"#Available_Scooters_(39,_11)",5.0
"#Available_Scooters_(39,_12)",10.0
